Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Abundant Growth,DMC,Dominaria United Commander,128,normal,common,1,71520,6dba2d06-13af-464d-b007-9027cade1cdf,0.49,false,false,near_mint,en,USD
Grounded,AVR,Avacyn Restored,181,normal,common,1,18097,dc4982f0-0ede-4846-82c8-bcf7ad63d099,0.35,false,false,near_mint,en,USD
